Status	name	date	hq	US based?	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
B	Airport Lawyer	2017	New York, New York, United States	x	Marketplace	n/a	n/a	Airport Lawyer is a community resource provided at no cost.	https://www.airportlawyer.org/	https://twitter.com/airport_lawyer?lang=en	n/a	https://www.crunchbase.com/organization/airport-lawyer	n/a	https://www.facebook.com/Airport-Lawyer-2231390243751918/	Advice, Consulting, Information Technology, Legal, Legal Tech	active
acquired	Allegory Law	2011	New York, New York, United States	x	Practice Management	Service Providers	Legal Tech	Allegory Law, doing business as Allegory Solutions, provides software solutions for litigation markets.	https://www.allegorylaw.com/	https://twitter.com/allegorylaw?lang=en	https://angel.co/company/allegory-law-1	https://www.crunchbase.com/organization/allegory-law	http://www.linkedin.com/company/allegory-law/	http://www.facebook.com/allegorylaw/	Information Technology, Legal, Legal Tech, Management Consulting, Management Information Systems, Software	acquired
B	Alt Legal	2013	New York, NY, USA	x	Practice Management	n/a	n/a	Alt Legal makes your IP practice more productive.	https://www.altlegal.com	https://twitter.com/AltLegalHQ	https://angel.co/company/altlegal/jobs	https://www.crunchbase.com/organization/altlegal	https://www.linkedin.com/company/alt-legal-ip-management-software/	https://www.facebook.com/AltLegal/	n/a	active
B	AltaClaro	2016	New York, NY	x	Legal Education	n/a	n/a	AltaClaro is an experiential learning platform that provides attorneys with universal access to interactive professional education taught by top practitioners including one-on-one or small group practical skills training, CLE, and professional development courses.	http://www.altaclaro.com/	https://twitter.com/AltaClaro	https://angel.co/altaclaro	https://www.crunchbase.com/organization/altaclaro	https://www.linkedin.com/company-beta/12958828/	https://www.facebook.com/altaclaro/	n/a	active
B	Anaqua	2004	Boston, MA	x	Practice Management	n/a	n/a	Anaqua is a leading provider of Intellectual Asset Management software and related services.	https://www.anaqua.com	https://twitter.com/Anaqua	https://angel.co/anaqua	https://www.crunchbase.com/organization/anaqua	http://www.linkedin.com/company/anaqua	http://www.facebook.com/AnaquaIP	n/a	active
review	Anduin Transactions	2014	San Francisco, California, United States	x	Practice Management	n/a	n/a	The workflow platform built for private market transactions	http://www.anduintransact.com	https://twitter.com/anduintransact	https://angel.co/company/anduin-transactions	https://www.crunchbase.com/organization/anduin	https://www.linkedin.com/company/4827416/	https://www.facebook.com/pg/anduintransact/	FinTech, Information Technology, Legal Tech, Venture Capital	active
B	APARAVI Software Corp	n/a	Santa Monica, California, United States	x	Legal Research	n/a	n/a	Aparavi provides data intelligence, automation software and services that empower organizations with control and knowledge of their data	https://www.aparavi.com	https://twitter.com/aparavisoftware?lang=en	n/a	https://www.crunchbase.com/organization/aparavi-software-corp	https://www.linkedin.com/company/aparavi-software-corp	https://www.facebook.com/aparavisoftware/	Business Intelligence, Cloud Data Services, Compliance, Data Center Automation, Legal Tech, SaaS, Software	inactive
review	Apex CLE	2014	Mount Prospect, IL, USA	x	Legal Education	n/a	n/a	ApexCLE, online continuing legal education  Convenient CLE For Busy Lawyers  Online continuing legal education (CLE) available on all mobile devices.  Search for your state-approved courses in the ApexCLE course library.	https://www.apexcle.com	n/a	n/a	https://www.crunchbase.com/organization/apexcle	https://www.linkedin.com/company/apex-clean-energy	https://www.facebook.com/ApexCLE/	n/a	active
good	AppearMe	n/a	Glendale, California, United States	x	Marketplace	n/a	n/a	AppearMe is a real-time and on-demand web and mobile app that connects thousands of legal professionals within minutes.	https://www.appearme.com/	https://twitter.com/AppearMeApp	https://angel.co/company/appearme	https://www.crunchbase.com/organization/appearme	https://www.linkedin.com/company/appearme	https://www.facebook.com/appearme	Apps, Legal, Legal Tech, Software	active
good	Arbitrator Intelligence	2019	Port Matilda, PA	x	Analytics	n/a	n/a	Arbitrator Intelligence (AI) is a global, independent information aggregator that produces data analytics on arbitrators’ past decision making. AI systematically collects information from parties and attorneys through an anonymized, confidential online questionnaire called the Arbitrator Intelligence Questionnaire or AIQ. Arbitrator Intelligence then analyzes the information collected through the AIQ to produce “AI Reports,” which provide analysis of individual arbitrators’ track records in comparison with various relevant industry baselines and in comparison with other individual arbitrators’ track records. AI Reports provide parties with unique, highly valuable insights to enable them to make informed decisions in selecting the right arbitrators for their high-stakes international legal disputes.	https://www.arbitratorintelligence.com	@Arb_Int	https://angel.co/company/arbitrator-intelligence/jobs/721381-coo-cfo	n/a	https://www.linkedin.com/company/arbitratorintelligence	n/a	n/a	active
review	Ascent Technologies Inc.	2015	Chicago, Illinois, United States	x	Compliance	Companies	Legal Tech	Ascent provides a cloud-based platform that helps financial services firms to keep their businesses compliant.	https://www.ascentregtech.com/	http://twitter.com/AscentEsports	https://angel.co/company/ascent-1	https://www.crunchbase.com/organization/ascent-technologies	https://www.linkedin.com/company/ascentregtech/	https://www.facebook.com/AscentRegTech/	Compliance, Financial Services, Legal, Legal Tech	active
good	Assembly Software	n/a	Coral Gables, Florida, United States	x	Marketplace	n/a	n/a	Assembly Software is a legal technology company that is used by litigation and settlement firms, insurance companies, and defense firms.	https://www.assemblysoftware.com	n/a	n/a	https://www.crunchbase.com/organization/assembly-software	https://www.linkedin.com/company/assembly-software/	n/a	Legal, Legal Tech, Software	active
B	Atims	n/a	Los Angeles, California, United States	x	Practice Management	n/a	n/a	Atims is a law enforcement company located in Los Angeles.	https://www.atims.com/	n/a	n/a	https://www.crunchbase.com/organization/atims	https://in.linkedin.com/company/atims	https://www.facebook.com/public/Atims-Atims	Law Enforcement, Legal, Legal Tech	active
review	AudioCaseFiles	n/a	Cambridge, Massachusetts, United States	x	Document Automation	n/a	n/a	AudioCaseFiles and Courtroom View Network offer multimedia content to the legal community.	http://courtroomcast.lexisnexis.com	https://twitter.com/audiocasefiles?lang=en	https://angel.co/company/audiocasefiles	https://www.crunchbase.com/organization/audiocasefiles	https://www.linkedin.com/company/audiocasefiles/	n/a	Ediscovery, Information Technology, Legal, Legal Tech, Software	active
good	Avvo	2007	Seattle, Washington, United States	x	Marketplace	Individuals	Legal Service Using Tech	Avvo is a legal marketplace, directory, and question and answer forum that connects individuals with lawyers.	https://www.avvo.com/	https://twitter.com/Avvo	https://angel.co/company/avvo	https://www.crunchbase.com/organization/avvo	http://www.linkedin.com/company/avvo	http://www.facebook.com/avvo	Business Development, Consulting, Legal, Legal Tech, Marketplace, Q&A	active
good	Axiom	2000	San Francisco, CA, USA	x	Marketplace	n/a	n/a	Transforming the Way Large Organizations Manage Legal Work.  Axiom is the global leading alternative legal services provider. With over 2,000+ employees across three continents, we provide talent and technology to help legal departments adapt to a demanding new era.	http://www.axiomlaw.com/	https://twitter.com/Axiom_Law	https://angel.co/axiom-law-redefined	https://www.crunchbase.com/organization/axiom	https://www.linkedin.com/company/axiom_law	https://www.facebook.com/axiomint	n/a	active
good	BanyanRFP	Articles of Incorporation: 2010 (but started selling in 2015)	Minneapolis, MN	x	Marketplace	n/a	n/a	Manual RFPs to hire counsel are time-consuming, cumbersome and difficult to analyze.  BanyanRFP is an effective, time-saving alternative to the manual RFP process.  BanyanRFP’s expert consultants are fueled by a patented, cloud-based solution that streamlines the RFP process to hire outside counsel. Recognized by the Buying Legal Council for its industry-best-practice work, BanyanRFP is driving great results for its clients. On average, clients realize a 30% spread on proposed fees each time they run a process.  Designed specifically for procuring legal services, BanyanRFP is well-suited to execute matter-level RFPs, reverse auctions, practice-area refreshes, and significant panel reviews. For the majority of its clients, BanyanRFP manages the process from end-to-end: from drafting the RFP to interacting with the law firms to providing a top-line analysis of the results.  BanyanRFP prides itself on making the RFP-process painless.	https://www.BanyanRFP.com	@BanyanRFP	n/a	n/a	https://www.linkedin.com/company/banyanrfp	n/a	rfp; market pricing; competition; afas; request for proposal	active
review	Berkelyn	n/a	New York, New York, United States	x	Marketplace	n/a	n/a	Legal consulting services and property rights & real estate ownership claims solutions for private space actors, internationally.	http://berkelyn.com/	n/a	n/a	https://www.crunchbase.com/organization/berkelyn	https://www.linkedin.com/company/berkelyn/	https://www.facebook.com/BerkelynSpace/	Aerospace, Legal, Legal Tech	active
good	Berkman Solutions	n/a	Portland, Oregon, United States	x	Document Automation	n/a	n/a	Provides Lextree, the web application for legal professionals to manage legal entities, contracts, board of directors, compliance, and risk.	https://www.berkmansolutions.com/	n/a	n/a	https://www.crunchbase.com/organization/berkman-solutions	https://www.linkedin.com/company/berkman-solutions	https://www.facebook.com/berkmansolutions/	Compliance, Document Management, Legal Tech, Risk Management, Software	active
good	BernieSez	2013	Raleigh, North Carolina, United States	x	Marketplace	n/a	n/a	BernieSez is a free-to-use mobile-responsive website launched in November 2013.	https://www.berniesez.com/	https://twitter.com/berniesez?lang=en	https://angel.co/company/berniesez-1	https://www.crunchbase.com/organization/berniesez	https://www.linkedin.com/company/berniesez/	http://www.facebook.com/BernieSez/	Ediscovery, Legal, Legal Tech, Mobile, Software	active
B	Bestlaw	2013	San Francisco, California, United States	x	Legal Research	n/a	n/a	Bestlaw adds features to Westlaw and Lexis to make legal research faster and easier.	https://www.bestlaw.io/	https://twitter.com/bestlaw?lang=en	n/a	https://www.crunchbase.com/organization/bestlaw	https://www.linkedin.com/company/best-law-firm	https://www.facebook.com/westlaw1	Apps, Legal, Legal Tech	active
B	BestQuire	2017	United States	x	Marketplace	n/a	n/a	BestQuire is a law firm which has developed a way of determining which lawyers aren't just qualified as well as which ones are the best.	https://www.bestquire.com	https://twitter.com/bestquirelaw?lang=en	https://angel.co/bestquire	https://www.crunchbase.com/organization/bestquire	n/a	https://www.facebook.com/pg/Bestquire-129331307828880/	Legal, Legal Tech, Professional Services	inactive
B	Bhavnani Technologies	2014	Scottsdale, AZ, USA	x	E-Discovery	n/a	n/a	We offer a service that provides email and internet privacy and security for households and small businesses.  Bhavnani Technologies specializes in creating new and innovative hardware and software. The company's goal is to make cutting edge technology available to consumers and businesses in a way that is cost effective and easy to use. Our first generation of products are focused on improving electronic communication privacy and security.	http://www.bhavnani.info	n/a	https://angel.co/bhavnani-technologies	https://www.crunchbase.com/organization/bhavnani-technologies	https://www.linkedin.com/company/bhavnani-technologies	https://www.facebook.com/pages/Bhavnani-Technologies/673737752685954	analytics	active
B	Big Time Software Inc	2002	Chicago, IL, USA	x	Practice Management	n/a	n/a	BigTime Software, Inc. is a United States-based cloud-based time and billing software company. The Company's browser-based interface for practice management allows professional services firms to instantly deploy and connect BigTime to existing back-office services. The Company's products include Lacerte, Mobile App, QuickBooks Timesheet, BigTime Express and Customer Raves. The Company develops practice management tools that help professional services firms track, manage and invoice their time. Its solutions are designed to speak the language of more than a dozen business types, from accounting and information technology (IT) services to architecture and engineering. It provides its products to a range of industries, such as accounting, technology, architecture and engineering, government contracting, legal and marketing.	http://bigtime.net	https://twitter.com/bigtimesoftware?lang=en	n/a	https://www.crunchbase.com/organization/bigtime-software	https://www.linkedin.com/company/bigtime-software-inc-	https://www.facebook.com/BigTimeSoftware/	n/a	active
B	Bill4Time	2006	Bellevue, Washington	x	Practice Management	n/a	n/a	Bill4Time is a secure, cloud-based legal time billing solution chosen by more than 50,000 firms. Time tracking (with ABA litigation code sets), matters management, trust and IOLTA accounting, document management and more. A builtin payment portal (supports LawPay, Stripe, PayPal and ACH). Information is safe and secure with 256-bit data encryption + local data backup. All invoices and reports can be customized to precisely match existing documents. The company offers free data migration services from other time billing systems.	https://www.bill4time.com	@bill4time.com	https://angel.co/company/bill4time-1/jobs	https://www.crunchbase.com/organization/bill4time	http://www.linkedin.com/company/bill4time	http://www.facebook.com/bill4time	time billing, practice management, time tracking, payment portal	active
good	Bilr	n/a	Miami, Florida, United States	x	Analytics	n/a	n/a	SaaS, LegalTech	https://www.getbilr.com/	https://twitter.com/getbilr?lang=en	n/a	https://www.crunchbase.com/organization/bilr	https://www.linkedin.com/company/bilr/	https://www.facebook.com/bilrlegalsoftware/	Legal Tech, Software	active
good	BlackBoiler	2016	Arlington, VA	x	Document Automation	n/a	n/a	The first product to instantaneously review and revise contracts right in "Track Changes," just like an attorney.	https://www.blackboiler.com	@black_boiler	n/a	https://www.crunchbase.com/organization/blackboiler	https://in.linkedin.com/company/blackboiler	https://www.facebook.com/BlackBoiler/	n/a	active
B	BlackStone Discovery	n/a	Palo Alto, California, United States	x	Marketplace	n/a	n/a	BlackStone Discovery is a consulting legal company located in Palo Alto.	https://www.blackstonediscovery.com/	https://twitter.com/blackstoneinfo?lang=en	n/a	https://www.crunchbase.com/organization/blackstone-discovery	https://www.linkedin.com/company/blackstone-discovery/	https://www.facebook.com/blackstonediscovery	Consulting, Legal, Legal Tech	active
good	Block Notary	2015	San Jose, CA, USA	x	Practice Management	n/a	n/a	Video interviews for remote identity verification, fraud prevention and customer service automation. Blockchain enabled.	https://www.blocknotary.com	https://twitter.com/blocknotary?lang=en	https://angel.co/company/block-notary	https://www.crunchbase.com/organization/block-notary	https://www.linkedin.com/company/blocknotaryllc/?originalSubdomain=in	https://www.facebook.com/blocknotaryinc/	n/a	active
good	Bodhala	n/a	New York, New York, United States	x	Marketplace	n/a	n/a	Bodhala is a SaaS platform that empowers in-house legal teams to better analyze, interpret and optimize outside counsel spending.	https://www.bodhala.com/	https://twitter.com/bodhala?lang=en	n/a	https://www.crunchbase.com/organization/bodhala	https://www.linkedin.com/company/bodhala/	https://www.facebook.com/pages/category/Information-Technology-Company/Bodhala-100435988277769/	Information Services, Information Technology, Legal Tech, SaaS	active
O- dead	Book-It Legal			x												
B	Bootstrap Legal	2017	Los Angeles, CA	x	Document Automation	n/a	n/a	Bootstrap Legal is a legaltech/fintech startup that applies AI to the legal industry. We automate the drafting of real estate financing legal documents so that real estate investors can get their legal offering documents affordably and efficiently via a user-friendly workflow--so they can maximize the time they have to raise capital prior to close.	https://www.bootstraplegal.com	@bootstraplegal	https://angel.co/bootstrap-legal	https://www.crunchbase.com/organization/bootstrap-legal#/entity	https://www.linkedin.com/company/bootstraplegal/?originalSubdomain=in	https://www.facebook.com/bootstraplegal/	artificial intelligence, machine learning, fundraising, securities law, real estate, fintech, legaltech	active
O- add	BorderWise			x												
O- add	Boundless			x												
good	Brainspace	2005	Addison, Texas	x	E-Discovery	n/a	n/a	Brainspace 6 is the fastest and most powerful weapon for conducting digital investigations. Developed using our patented machine learning platform, Discovery is a comprehensive investigative application designed to help you quickly decipher the truth.	http://www.brainspace.com	https://twitter.com/Brainspace	https://angel.co/brainspace	https://www.crunchbase.com/organization/brainspace	http://www.linkedin.com/company/129989	http://www.facebook.com/brainspace	n/a	active
B	Bridge US	2011	San Francisco, CA, USA	x	Marketplace	Individuals	Legal Service Using Tech	Immigration Made Easy  Bridge US has reinvented the immigration process for companies. The company's cloud-based platform eliminates the time and paperwork associated with immigration processing, tracking, and compliance. Bridge US is the trusted immigration partner to leading companies, ranging from venture-backed startups to Fortune 500 companies.	https://bridge.us	https://twitter.com/immigrateUS	https://angel.co/bridge-us	http://www.crunchbase.com/organization/lexspot	http://www.linkedin.com/company/u-s-bridge	http://www.facebook.com/bridgeimmigration	immigration	active
B	Brightleaf	1900	Brookline, Massachusetts, United States	x	Analytics	n/a	n/a	Brightleaf helps in mining information from unstructured, text-based documents, and making it accessible.	https://www.brightleaf.com/	https://twitter.com/brightleaf	https://angel.co/company/brightleaf-solutions-1	https://www.crunchbase.com/organization/brightleaf	https://in.linkedin.com/company/brightleaf-corporation	http://www.facebook.com/brightleafcorp	Analytics, Content, Data Mining, Legal, Legal Tech, Software	active
O- dead	Caliber Litigation Services			x		0.1638190955										
good	Callisto	2011	San Francisco, CA	x	Practice Management	n/a	n/a	Callisto is a rapidly growing nonprofit tech startup that has created an online sexual assault reporting and documentation system that helps identify serial sexual predators. The system launched 2.5 years ago on 2 pilot college campuses, and has since grown to 12 colleges and an entertainment industry pilot. Reporting on participating campuses has doubled, assaults have been reported 3 times faster, and 15% of victims have matched with another victim of the same assailant (meaning they were informed that they weren't the only one and connected to the same investigator or legal advisor). In the next year, we will be rapidly expanding to address sexual assault and coercion in multiple industries, connecting victims of the same predator together and with legal support.	https://projectcallisto.org	https://twitter.com/callisto_org/	https://angel.co/projectcallisto	https://www.crunchbase.com/organization/callisto	https://www.linkedin.com/company/11078257/	https://www.facebook.com/callistoorg	n/a	active
B	Carta	pull back		x												
B	Case Status, Inc.	2017	Birmingham, Alabama, United States	x	Practice Management	n/a	n/a	Case Status operates as cloud based, client management tool for the legal services industry.	https://www.casestatus.com	@Thecase_status	https://angel.co/company/case-status	https://www.crunchbase.com/organization/case-status	https://www.linkedin.com/company/case-status	https://www.facebook.com/thecasestatus/	Cloud Data Services, Legal, Legal Tech, Professional Services, Real Time, SaaS, Software	active
B	Case.one	2015	Irvine, CA	x	Practice Management	n/a	n/a	Case.one is a flexible practice management solution that is easily customized to work the way you do, supports collaboration with your team and clients, incorporates AI-powered tools streamlining workflow, and integrates with leading applications including Outlook, Dropbox, Quickbooks, Gmail, and more.	https://case.one	n/a	n/a	https://www.crunchbase.com/organization/case-one-2	https://www.linkedin.com/company/10964691/	https://www.facebook.com/thecaseone	n/a	active
B	CaseFleet	2015	Atlanta, Georgia, United States	x	Practice Management	n/a	n/a	CaseFleet develops software for lawyers and legal professionals.	https://www.casefleet.com/	https://twitter.com/casefleet?lang=en	https://angel.co/company/casefleet-1	https://www.crunchbase.com/organization/casefleet	https://www.linkedin.com/company/casefleet	https://www.facebook.com/casefleet/	Ediscovery, Legal, Legal Tech, SaaS, Software	active
B	CaseGlide	2014	St. Petersburg, Florida, United States	x	Practice Management	n/a	n/a	CaseGlide is the dynamic legal spend SaaS company that offers unparalleled savings to insurance carriers and self-insured companies	https://caseglide.com/	https://twitter.com/caseglide	https://angel.co/company/caseglide/jobs	https://www.crunchbase.com/organization/caseglide	https://www.linkedin.com/company/caseglide/	https://www.facebook.com/pages/category/Lawyer---Law-Firm/CaseGlide-841240202651823/	Information Technology, Legal Tech, Property Insurance, Software	active
B	CaseMetrix	2012	Decatur, Georgia, United States	x	Marketplace	n/a	n/a	CaseMetrix owns and operates a verdict and settlement database.	https://case-metrix.com/	https://twitter.com/CaseMetrix	https://angel.co/company/casemetrix-1	https://www.crunchbase.com/organization/casemetrix	https://www.linkedin.com/company/casemetrix/	https://www.facebook.com/CaseMetrix/	Consulting, Database, Legal, Legal Tech, Marketing	active
B	CASEpeer	2015	Newport Beach, California, United States	x	Marketplace	n/a	n/a	CASEpeer is a cloud-based case management software for personal injury law.	https://www.casepeer.com/	@CASEpeer	n/a	https://www.crunchbase.com/organization/casepeer	https://www.linkedin.com/company/casepeer-legal-software/	https://www.facebook.com/casepeer/	Consulting, Legal, Legal Tech, SaaS, Software	active
good	Casepoint	2008	Tysons, VA	x	E-Discovery	n/a	n/a	Casepoint is a technology company focused on the digital transformation of litigation discovery. Casepoint’s cloud-based eDiscovery platform removes significant barriers from the discovery process, enabling legal teams to focus on the art of litigation. Features of Casepoint include a full-strength review platform with artificial intelligence pre-installed, cloud analytics and collections, and robust data processing capabilities all in a single technology platform. Based in the United States and with offices in three continents, Casepoint is repeatedly chosen by leading law firms, multinational corporations, and public sector clients for their largest, end-to-end discovery needs. Casepoint is smarter legal working.	https://www.casepoint.com	@Casepoint	https://angel.co/company/casepoint-1/jobs	https://www.crunchbase.com/organization/casepoint	https://www.linkedin.com/company/casepoint-llc/	https://www.facebook.com/Casepoint.India/	data processing and hosting, cloud collections and analytics, full-strength review platform, artificial intelligence, ediscovery	active
B	Casetext	2013	San Francisco, California, United States	x	Legal Research	Service Providers	Legal Service Using Tech	Casetext is an AI legal research technology for litigators, helping researchers find cases.	https://casetext.com/	https://twitter.com/casetext?lang=en	https://angel.co/company/casetext	https://www.crunchbase.com/organization/casetext	https://www.linkedin.com/company/casetext	https://www.facebook.com/casetext/	Artificial Intelligence, Law Enforcement, Legal, Legal Tech, Publishing	active
acquired	Catalyst Repository Systems	1996	Denver, Colorado, United States	x	E-Discovery	n/a	n/a	Catalyst Repository Systems provides litigation support software and hosted document repositories.	https://catalystsecure.com	n/a	https://angel.co/company/catalyst-repository-systems	https://www.crunchbase.com/organization/catalyst-secure	http://www.linkedin.com/company/catalyst-repository-systems	http://www.facebook.com/catalystsecure	Ediscovery, Legal, Legal Tech, Service Industry, Software	acquired
review	CCPA Toll Free	n/a	Claymont, Delaware, United States	x	Compliance	n/a	n/a	CCPA Toll Free makes Simple Privacy. Manage CCPA and GDPR Requests. Meet Deadlines. Track Compliance.	https://ccpatollfree.com/	n/a	n/a	https://www.crunchbase.com/organization/privacy-hotline	https://www.linkedin.com/company/privacyhotline/about/	https://www.facebook.com/privacyhotline	Compliance, Legal Tech	active
review	CEB	n/a	Oakland City, Indiana, United States	x	Practice Management	n/a	n/a	CEB is a legal services company that provides practical legal resources to help lawyers achieve success.	https://www.ceb.com/	https://twitter.com/ceb?lang=en	https://angel.co/company/ceb	https://www.crunchbase.com/organization/ceb-d320	https://www.linkedin.com/company/continuing-education-of-the-bar-ceb-/	https://www.facebook.com/cebcalifornia#!/cebcalifornia?sk=wall	Law Enforcement, Legal, Legal Tech	active
review	Chapter 11 Dockets	1900	Chicago, Illinois, United States	x	Document Automation	n/a	n/a	Chapter 11 Dockets is an efficient and effective solutions for bankruptcy information and research needs.	https://www.chapter11dockets.com/	n/a	n/a	https://www.crunchbase.com/organization/chapter-11-dockets	n/a	n/a	Document Management, Finance, Information Services, Legal, Legal Tech	active
review	ChartaCourse	2012	USA	x	Legal Education	n/a	n/a	Legal Education	https://www.chartacourse.com	https://twitter.com/chartacourse?lang=en	n/a	https://www.crunchbase.com/organization/chartacourse	n/a	n/a	n/a	active
B	Checkr	2014	San Francisco, California, United States	x	Document Automation	Individuals	Legal Service Using Tech	Checkr seeks to automate the process of professional background checks.	https://checkr.com/	https://twitter.com/checkr?lang=en	https://angel.co/company/checkr	https://www.crunchbase.com/organization/checkr	https://www.linkedin.com/company/checkr-com	https://www.facebook.com/checkrio/	Developer APIs, Enterprise Software, Human Resources, Information Services, Internet, Legal, Legal Tech, Software	active
B	Cicayda	2012	Nashville, TN, USA	x	Practice Management	Service Providers	Legal Tech	eDiscovery technology & services for intelligent litigationÌø_	http://www.cicayda.com/	https://twitter.com/cicayda	https://angel.co/company/cicayda	http://www.crunchbase.com/organization/cicayda	https://www.linkedin.com/company/cicayda	https://www.facebook.com/cicayda/	discovery	active
O- add	Citizen Path			x												
review	CitizenshipWorks	2015	New York, New York, United States	x	Marketplace	n/a	n/a	CitizenshipWorks is a free online service that helps you apply for citizenship, step-by-step.	https://www.citizenshipworks.org/	n/a	https://angel.co/company/citizenshipworks	https://www.crunchbase.com/organization/citizenshipworks	n/a	https://www.facebook.com/citizenshipworks	Information Services, Internet, Legal, Legal Tech	active
good	Claim Flights	2014	New York	x	Compliance	n/a	n/a	Claim Flights helps flight passengers who were left stranded due to delayed or cancelled or overbooked flights to get their money back from the airlines under EU Regulation 261/2004. Free Compensation Calculator and letter template are loved by passengers, as they get their money entirely without any legal hassles, but chances are some what lower as airlines rejects the cases, if passengers doesn't know real reason behind the circumstances. Claim Flights based on their historic and real time database is aware of actual reason thus more likely to receive the reimbursement from the airlines.	https://www.claimflights.com	@claimflightsuk	https://angel.co/company/claim-flights	https://www.crunchbase.com/organization/claim-flights	https://www.linkedin.com/company/claim-flights/	https://www.facebook.com/claimflightsuk/	cancelled flight compensation, delayed flight compensation, claim compensation	active
O- pivoted	Claim Kit	3		x												
good	ClaimCompass	2015	Mountain View, CA	x	Document Automation	n/a	n/a	ClaimCompass helps air passengers get over $700 in compensation for their delayed, canceled or overbooked flights.  Our automated process allows us to process thousands of claims.  By combining our legal and technological expertise, we have already helped thousands of air passengers get their due compensation from the airline.	https://www.claimcompass.eu/en/	@ClaimcompassEU	https://angel.co/claimcompass	https://www.crunchbase.com/organization/claimcompass	https://www.linkedin.com/company/claimcompass-eu	https://www.facebook.com/claimcompass.eu	overbooking compensation, canceled flight compensation, delayed flight compensation, overbooked flights, canceled flights, delayed flights, consumer rights, flight compensation, passenger rights	active
O- add	ClariLegal			x												
